scheme,replicate,k,bootstrap_n,n_components,ari_vs_baseline,matched_jaccard_vs_baseline,silhouette
household_bootstrap,36,6,5605,9,0.8629552123146307,0.8750585219679895,0.11986296235681289
household_bootstrap,36,7,5605,9,0.47978296674835197,0.4860370351401074,0.12416363973278931
household_bootstrap,36,8,5605,9,0.6834462220656781,0.6958977053917312,0.12545162721352562
household_bootstrap,37,2,5605,9,0.9815246448254562,0.990640307169461,0.15564479932139508
household_bootstrap,37,3,5605,9,0.9417627859669665,0.9556098056357992,0.13125542951846011
household_bootstrap,37,4,5605,9,0.9460889339128487,0.9595400470268294,0.13042953003644536
household_bootstrap,37,5,5605,9,0.8964787633312469,0.9117024291290464,0.12666788431519604
household_bootstrap,37,6,5605,9,0.7241271858620909,0.6644527510639436,0.11839839726722486
household_bootstrap,37,7,5605,9,0.5046966264497739,0.5915498550478776,0.12465901701574757
household_bootstrap,37,8,5605,9,0.4450584710697361,0.4735613840778866,0.12461178459132422
household_bootstrap,38,2,5605,9,0.9562273879649582,0.9778208289303745,0.14037966249552317
household_bootstrap,38,3,5605,9,0.933243120444061,0.9444909112982135,0.12417526042115887
household_bootstrap,38,4,5605,9,0.348380592605163,0.49249651462407773,0.11217950969276821
household_bootstrap,38,5,5605,9,0.940668389933148,0.9474806324829743,0.12397661632308885
household_bootstrap,38,6,5605,9,0.6901763830564169,0.6653334229177692,0.11937072869370342
household_bootstrap,38,7,5605,9,0.4292047642351833,0.41942147443210986,0.11851010839827779
household_bootstrap,38,8,5605,9,0.7383721751000724,0.7040417152256653,0.12021534482834632
household_bootstrap,39,2,5605,9,0.9815250277257878,0.9906479718939636,0.1478724278145774
household_bootstrap,39,3,5605,9,0.2330050532694855,0.3612990660594522,0.12255118102286712
household_bootstrap,39,4,5605,9,0.8820443655980613,0.8891076137305267,0.12511518117587372
household_bootstrap,39,5,5605,9,0.9070503554767604,0.9158101568632976,0.12340873225160692
household_bootstrap,39,6,5605,9,0.5872820126544565,0.5495337190113908,0.12698261699147073
household_bootstrap,39,7,5605,9,0.5022878556522072,0.5535583889451566,0.12785415083609425
household_bootstrap,39,8,5605,9,0.909593158526431,0.921021081052324,0.12395561850113045
household_bootstrap,40,2,5605,9,0.9548305563411119,0.9770924331334376,0.15289117078914405
household_bootstrap,40,3,5605,9,0.23563356904444677,0.3636729646878467,0.13304304802511926
household_bootstrap,40,4,5605,9,0.8723142450759429,0.90093303223719,0.12182332723815471
household_bootstrap,40,5,5605,9,0.8799903812237634,0.8949426414143578,0.12427754286038808
household_bootstrap,40,6,5605,9,0.6283636271072444,0.5815455341540581,0.11663875535834022
household_bootstrap,40,7,5605,9,0.8658319523724626,0.875862396490049,0.12508453980644432
household_bootstrap,40,8,5605,9,0.5709085401205646,0.6300318081033329,0.1232623413913356
household_bootstrap,41,2,5605,9,0.97024006509117,0.9849105220564658,0.1547617367469017
household_bootstrap,41,3,5605,9,0.22875087073180403,0.3702629830433459,0.13218130163782302
household_bootstrap,41,4,5605,9,0.36739996271651465,0.5228232501941308,0.12810450736642925
household_bootstrap,41,5,5605,9,0.8942494688494641,0.8935411155377277,0.12695454104660348
household_bootstrap,41,6,5605,9,0.6483612653208046,0.5871000631550807,0.13209990921821121
household_bootstrap,41,7,5605,9,0.47251060394512867,0.4765426847341146,0.12619036139426765
household_bootstrap,41,8,5605,9,0.7222872706663286,0.6892849507902432,0.13150715221391057
household_bootstrap,42,2,5605,9,0.96462212908806,0.982056314045156,0.15410633861146314
household_bootstrap,42,3,5605,9,0.9196889590144421,0.9364964858884507,0.1308418949930564
household_bootstrap,42,4,5605,9,0.37125985772340303,0.5432906159167685,0.11919779765982613
household_bootstrap,42,5,5605,9,0.7916693633538695,0.8135240781519935,0.1242290415143466
household_bootstrap,42,6,5605,9,0.6436604183249864,0.5872825864628769,0.12261189922695703
household_bootstrap,42,7,5605,9,0.5994571042875735,0.6318787300668003,0.1255356515979231
household_bootstrap,42,8,5605,9,0.9121457623155544,0.9079012624837481,0.12490649636138791
household_bootstrap,43,2,5605,9,0.9569266691050204,0.9781950437832792,0.15604749876959143
household_bootstrap,43,3,5605,9,0.2290583072601714,0.37143482160229363,0.12822122484956522
household_bootstrap,43,4,5605,9,0.36292689035789,0.5239373908201825,0.12539258751624408
household_bootstrap,43,5,5605,9,0.9259952895700411,0.9315755575280132,0.13201235350583795
household_bootstrap,43,6,5605,9,0.6554813968516521,0.6153037506740316,0.12896246648546897
household_bootstrap,43,7,5605,9,0.47279951287471195,0.4823088164218147,0.12676728921165767
household_bootstrap,43,8,5605,9,0.6916333813198994,0.6942100632067711,0.12778478274690955
household_bootstrap,44,2,5605,9,0.9639217648010777,0.9817140335929893,0.150755374110953
household_bootstrap,44,3,5605,9,0.22758454001668918,0.36470866601919977,0.1228128410269565
household_bootstrap,44,4,5605,9,0.9195058453610202,0.9300338566447967,0.12080333816214628
household_bootstrap,44,5,5605,9,0.9204499400529652,0.9260021993245549,0.11819940353192047
household_bootstrap,44,6,5605,9,0.6967247356050686,0.6351750144217112,0.10622764020235997
household_bootstrap,44,7,5605,9,0.5745511082754068,0.5557074872638951,0.10804127408802737
household_bootstrap,44,8,5605,9,0.7294744510351427,0.7089613284620175,0.11503591894136074
household_bootstrap,45,2,5605,9,0.977285842061311,0.9884986499379866,0.14680010955999467
household_bootstrap,45,3,5605,9,0.9819994830297739,0.985892872827729,0.12685946361866826
household_bootstrap,45,4,5605,9,0.9482481292516334,0.9601491838801965,0.12302863654600386
household_bootstrap,45,5,5605,9,0.9048204326098125,0.9160295544504716,0.12387496940332844
household_bootstrap,45,6,5605,9,0.6669858700449213,0.6155257561116033,0.12419214440077382
household_bootstrap,45,7,5605,9,0.4285133374083686,0.47635799607627477,0.12002701062480381
